primary_name,RoomType,TotalCount,KingSize,QueenSize,TwinBedded,HollywoodTwins,Single_Sofa-cum-bed,TotalRoomSize,BedRoomSize,LivingRoomSize,View,RoomDescription,Balcony,MaxOccupancy,Amenities
Sterling Nature Trails Kundalika,ROOM CAT -2 (Premier),5,5,,,0,0,269,188,,Garden View,"This is 5 room with attached bathroom, has sofa cum bed",N,3 Adult/ 2 Adult 1 child/ 1 Adult 2 Child,"Ac, Tea Coffee maker, Mini freedze"
Sterling Nature Trails Kundalika,ROOM CAT-3 (River View ),2,2,,,0,2,254,187,,River View,"This has 2 rooms - , sofa cum bed can become a master bed.",Y,3 Adult/ 2 Adult 1 child/ 1 Adult 2 Child,"Ac, Tea Coffee maker"
Sterling V Grand Madurai,Classic,32,18,,14,Beds can't be joined,,300,194.8,,,,,,
Sterling V Grand Madurai,Privilage Suite,1,1,,0,Beds can't be joined,,400,272.7,,,,,,
Sterling Guruvayur,ENTIRE RESORT,71,69,,,2,,,,,,,,,
Sterling Guruvayur,ROOM CAT-1 (Classic),63,61,,,2,,230,190,,50% hi-way and balance 50% greenery / cocnut trees etc.,Normal room with attached bath,N,2 Adults + 1 kid / 3 Adults,"coffee maker, Led Tv 32, Mini fridge"
Sterling Guruvayur,ROOM CAT -2 (Premier),8,8,,,,,320,285,,Road view,"Room with attached bath with 1 dining space area, Sof cum bed is there in all 8 premiers.",N,2 Adults + 1 kid / 3 Adults,"coffee maker, Led Tv 32, Mini fridge"
Sterling Park Kalimpong,ENTIRE RESORT,25,24,,1,1,,,,,"Mountain , Valley view and Garden View",4 Catagoty of rooms,4,,"Safe Deposit Locker/Hair Dryer/ Tea Coffee maker/LED 52 TV"
Sterling Park Kalimpong,ROOM CAT-1 (Classic),12,11,,,1,,245,183,,Garden (5) / Valley view View (5) and 2 mountain room,"Comfortable furnishing, contemporary décor that creates a great place to stay at the resort.This is 1 room with attached bathroom",N,2 Adults + 1 kid / 3 Adults,"Safe Deposit Locker/Hair Dryer/ Tea Coffee maker/LED 52 TV"
Sterling Park Kalimpong,ROOM CAT -2 (Premier),7,7,,0,O,,303,230,,5 Mountain View / 2 Valley View,The perfect way to unwind; relax in the warmth of the well-designed Premier Rooms at the resort.This is 1 room with attached bathroom .,Y (only top floor),3 Adult,"Safe Deposit Locker/Hair Dryer/ Tea Coffee maker/LED 52 TV"
Sterling Park Kalimpong,ROOM CAT-3 (Privilege Suite),2,2,,0,0,,589 /241,"Bed room : 308 Dinning Room : 118 .",,Garden (1) / Mountain View (1),Small dining room with spacious room with bathroom,N,3 Adult,"Safe Deposit Locker/Hair Dryer/ Tea Coffee maker/LED 52 TV"
Sterling Park Kalimpong,ROOM CAT-4 (Family Suite / Heritage),4,3,,1,1,,325,241.77,,2 Mountain View / 2 Valley View,"Paired with spectacular views of the Himalayan ranges, unmatched comfort, and vintage design, the Suites are a cocoon of elegance and luxury.",N,3 adult (in one room we can acommodate 4 pax),"Safe Deposit Locker/Hair Dryer/ Tea Coffee maker/LED 52 TV"
Sterling Mount Abu,ENTIRE RESORT,69,24,,,45,,,,,,,,,
Sterling Mount Abu,ROOM CAT-1 (Classic),58,24,,,34,,450,,,Garden (25) / Mountain View (33),"There are rooms without balcony in Classic category,There are sofa cum bed availaible in all the room",Y,2 Adults + 1 kid / 3 Adults,
Sterling Mount Abu,ROOM CAT -2 (Premier),11,,,,11,,650,,,Garden (5) / Mountain View (6),There are sofa cum bed availaible in all the room with Dry kitchenette.,Y,2 Adults + 1 kid / 3 Adults,Bath Tub
Sterling Ooty Fern Hill,ENTIRE RESORT,175,175,,Nil,Nil,,,,,,,,,
Sterling Ooty Fern Hill,ROOM CAT-1 (Classic),28,28,,Nil,Nil,,250,200,,"Garden,Mountain and Valley View",This is 1 room with attached bathroom,No Balcony,2 + 1,"TCM, Mini bar fridge, heater, hair dryer//TV 32''"
